Unnamed: 0,rental_date,return_date,amount,release_year,rental_rate,length,replacement_cost,special_features,NC-17,PG,PG-13,R,has_trailer,has_commentary,has_deleted_scenes,has_behind_the_scenes,rental_duration,cost_per_minute,rental_duration_sq
0,2005-05-25 02:54:33+00:00,2005-05-28 23:40:33+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.577351414542507,-0.25930278841161974,9.0
1,2005-06-15 23:19:16+00:00,2005-06-18 19:24:16+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.9567234936022191,-0.25930278841161974,4.0
2,2005-07-10 04:27:45+00:00,2005-07-17 10:11:45+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,0.9401369016963409,-0.25930278841161974,49.0
3,2005-07-31 12:06:41+00:00,2005-08-02 14:30:41+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.9567234936022191,-0.25930278841161974,4.0
4,2005-08-19 12:30:04+00:00,2005-08-23 13:35:04+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.19797933548279506,-0.25930278841161974,16.0
5,2005-05-29 16:51:44+00:00,2005-06-01 21:43:44+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.577351414542507,-0.25930278841161974,9.0
6,2005-06-17 19:42:42+00:00,2005-06-22 20:39:42+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,0.18139274357691693,-0.25930278841161974,25.0
8,2005-07-27 13:16:28+00:00,2005-07-28 13:40:28+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-1.336095572661931,-0.25930278841161974,1.0
9,2005-08-21 13:53:52+00:00,2005-08-25 09:03:52+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.577351414542507,-0.25930278841161974,9.0
10,2005-06-18 12:27:59+00:00,2005-06-22 14:58:59+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.19797933548279506,-0.25930278841161974,16.0
11,2005-07-10 22:40:25+00:00,2005-07-12 19:39:25+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-1.336095572661931,-0.25930278841161974,1.0
12,2005-07-30 09:55:31+00:00,2005-08-01 07:19:31+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-1.336095572661931,-0.25930278841161974,1.0
13,2005-08-17 17:12:20+00:00,2005-08-21 15:16:20+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.577351414542507,-0.25930278841161974,9.0
14,2005-07-07 21:54:37+00:00,2005-07-14 17:56:37+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,0.5607648226366289,-0.25930278841161974,36.0
15,2005-07-31 03:52:30+00:00,2005-08-08 09:22:30+00:00,4.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.319508980756053,-0.25930278841161974,64.0
16,2005-08-22 22:57:39+00:00,2005-08-23 23:00:39+00:00,2.99,2005.0,0.029433690959234735,0.2746482041256303,-0.5342863405583149,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-1.336095572661931,-0.25930278841161974,1.0
17,2005-05-25 03:03:39+00:00,2005-06-02 02:12:39+00:00,3.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.9401369016963409,-0.4749383515708273,49.0
18,2005-06-17 20:11:08+00:00,2005-06-22 17:01:08+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.19797933548279506,-0.4749383515708273,16.0
19,2005-07-06 18:13:45+00:00,2005-07-14 17:35:45+00:00,3.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.9401369016963409,-0.4749383515708273,49.0
20,2005-07-27 06:31:15+00:00,2005-07-29 06:52:15+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.9567234936022191,-0.4749383515708273,4.0
21,2005-08-17 20:22:05+00:00,2005-08-26 16:34:05+00:00,4.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,1.319508980756053,-0.4749383515708273,64.0
22,2005-05-31 18:33:56+00:00,2005-06-07 15:30:56+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.5607648226366289,-0.4749383515708273,36.0
23,2005-06-16 08:51:13+00:00,2005-06-24 04:23:13+00:00,3.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.9401369016963409,-0.4749383515708273,49.0
25,2005-07-29 07:12:26+00:00,2005-08-02 03:26:26+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.577351414542507,-0.4749383515708273,9.0
26,2005-08-19 07:10:21+00:00,2005-08-26 05:00:21+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.5607648226366289,-0.4749383515708273,36.0
27,2005-07-27 07:03:37+00:00,2005-07-29 03:18:37+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-1.336095572661931,-0.4749383515708273,1.0
28,2005-08-21 11:13:46+00:00,2005-08-25 13:07:46+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.19797933548279506,-0.4749383515708273,16.0
29,2005-07-28 12:40:46+00:00,2005-07-30 18:22:46+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.9567234936022191,-0.4749383515708273,4.0
30,2005-08-22 10:30:10+00:00,2005-08-28 13:43:10+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.5607648226366289,-0.4749383515708273,36.0
31,2005-08-01 01:24:24+00:00,2005-08-03 21:44:24+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,-0.9567234936022191,-0.4749383515708273,4.0
32,2005-08-19 17:43:35+00:00,2005-08-26 13:31:35+00:00,2.99,2009.0,0.029433690959234735,1.0216989550249134,-0.8628759622057689,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,0.5607648226366289,-0.4749383515708273,36.0
33,2005-05-25 03:04:41+00:00,2005-06-03 05:43:41+00:00,4.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.6988810598157649,-1.1221558297534517,81.0
34,2005-06-16 04:46:02+00:00,2005-06-18 00:11:02+00:00,0.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-1.336095572661931,-1.1221558297534517,1.0
35,2005-07-10 10:33:39+00:00,2005-07-19 11:47:39+00:00,3.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.6988810598157649,-1.1221558297534517,81.0
36,2005-07-29 02:23:49+00:00,2005-07-31 04:07:49+00:00,0.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,-0.9567234936022191,-1.1221558297534517,4.0
37,2005-08-21 04:31:03+00:00,2005-08-27 07:18:03+00:00,0.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,0.5607648226366289,-1.1221558297534517,36.0
38,2005-05-28 02:31:36+00:00,2005-06-03 23:12:36+00:00,1.99,2006.0,-1.1819909211677728,1.6442412474409827,0.28718771356032097,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,0.5607648226366289,-1.1221558297534517,36.0
