Unnamed: 0,rental_date,return_date,amount,release_year,rental_rate,length,replacement_cost,special_features,NC-17,PG,PG-13,R,has_trailer,has_commentary,has_deleted_scenes,has_behind_the_scenes,rental_duration,cost_per_minute
0,2005-05-25 02:54:33+00:00,2005-05-28 23:40:33+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,3.0,0.023730158730158733
1,2005-06-15 23:19:16+00:00,2005-06-18 19:24:16+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,2.0,0.023730158730158733
2,2005-07-10 04:27:45+00:00,2005-07-17 10:11:45+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,7.0,0.023730158730158733
3,2005-07-31 12:06:41+00:00,2005-08-02 14:30:41+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,2.0,0.023730158730158733
4,2005-08-19 12:30:04+00:00,2005-08-23 13:35:04+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,4.0,0.023730158730158733
5,2005-05-29 16:51:44+00:00,2005-06-01 21:43:44+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,3.0,0.023730158730158733
6,2005-06-17 19:42:42+00:00,2005-06-22 20:39:42+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,5.0,0.023730158730158733
7,2005-07-09 18:23:46+00:00,2005-07-13 19:04:46+00:00,2.99,2005.0,2.99,126.0,,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,4.0,0.023730158730158733
8,2005-07-27 13:16:28+00:00,2005-07-28 13:40:28+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.0,0.023730158730158733
9,2005-08-21 13:53:52+00:00,2005-08-25 09:03:52+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,3.0,0.023730158730158733
10,2005-06-18 12:27:59+00:00,2005-06-22 14:58:59+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,4.0,0.023730158730158733
11,2005-07-10 22:40:25+00:00,2005-07-12 19:39:25+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.0,0.023730158730158733
12,2005-07-30 09:55:31+00:00,2005-08-01 07:19:31+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.0,0.023730158730158733
13,2005-08-17 17:12:20+00:00,2005-08-21 15:16:20+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,3.0,0.023730158730158733
14,2005-07-07 21:54:37+00:00,2005-07-14 17:56:37+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,6.0,0.023730158730158733
15,2005-07-31 03:52:30+00:00,2005-08-08 09:22:30+00:00,4.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,8.0,0.023730158730158733
16,2005-08-22 22:57:39+00:00,2005-08-23 23:00:39+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,1,0,0,1,1.0,0.023730158730158733
17,2005-05-25 03:03:39+00:00,2005-06-02 02:12:39+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,7.0,0.01916666666666667
18,2005-06-17 20:11:08+00:00,2005-06-22 17:01:08+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,4.0,0.01916666666666667
19,2005-07-06 18:13:45+00:00,2005-07-14 17:35:45+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,7.0,0.01916666666666667
20,2005-07-27 06:31:15+00:00,2005-07-29 06:52:15+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,2.0,0.01916666666666667
21,2005-08-17 20:22:05+00:00,2005-08-26 16:34:05+00:00,4.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,8.0,0.01916666666666667
22,2005-05-31 18:33:56+00:00,2005-06-07 15:30:56+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,1,0,0,1,6.0,0.01916666666666667
